continent,lat,long,confirmed_cumulative,confirmed_new,deaths_cumulative,deaths_new,recovered_cumulative,recovered_new,active,critical,updated
North America,31.6768272,-146.4707474,48995944,7504,1009253,280,38170917,11151,9815774,33093,1630908717564
Asia,23.7027273,62.3750637,71351945,28419,1054460,353,66674280,38973,3623205,41043,1630908717566
South America,-15.6551563,-100.7484231,37083686,171,1135465,5,34916232,643,1031989,14837,1630908717566
Europe,25.771324,-35.6012256,55969092,773,1180853,18,51052111,7506,3736128,11905,1630908717567
Africa,1.7383867,-16.3094636,7984085,0,199688,0,7132291,0,652106,4468,1630908717568
Australia-Oceania,-8.6599161,91.1469847,173518,1557,2259,5,120066,38,51193,233,1630908717569
